,ARIMAX,AR,VAR,ARIMA,XGBOOST,Linear,SVR,LSTM,Facebook Prophet(Microchip),Facebook NN(Microchip)
MSE,0.27708200331569016,100.4369005586705,102.21831433367191,2.9887947804236976,3.2078203638496348,2.9761594048504207,3.011029701433858,3.070704407332205,802.5581098116819,872.4232017934141
MAE,0.4126053646642594,8.536500825048858,8.612217959171662,1.2730393057361054,1.3498629811306424,1.268015031902394,1.2938375071047203,1.2904856347542775,27.172843921128187,28.39102921707357
RMSE,0.526385793231248,10.02182121965217,10.110307331316488,1.7288131132148719,1.7910389062914391,1.7251548930024865,1.7352318869343826,1.7523425485139044,28.329456574591788,29.53681096180517
MAPE,0.006123700029862288,0.1258257688343592,0.12694470617772474,0.0180305143760442,0.01900660375406706,0.017957355696937998,0.018279006214734946,0.018265379453103282,0.38981135479836987,0.40700627430833114
